collision_date,NUM_COLLISIONS,vehicle_1,vehicle_2,vehicle_3,vehicle_4,vehicle_5
2021-03-27,325,323,247,33,8,2
2021-02-22,245,244,173,24,4,2
2021-03-03,244,243,182,27,4,2
2021-02-12,290,289,231,37,12,5
2021-03-28,198,196,130,18,5,3
2021-03-20,283,282,222,28,5,3
2021-01-15,272,272,193,28,5,2
2021-01-31,297,297,211,40,9,2
2021-01-21,251,249,196,21,8,2
2020-11-09,318,318,249,35,10,4
2020-12-05,278,277,202,31,9,1
2020-11-08,326,324,243,53,15,2
2020-11-01,308,307,233,42,8,2
2020-10-12,323,319,238,34,10,2
2020-08-14,344,342,279,37,5,1
2020-09-18,341,340,272,34,14,3
2020-10-02,350,350,269,27,10,4
2020-09-08,337,335,260,34,7,1
2020-08-27,343,340,254,33,16,5
2020-10-08,332,331,254,27,5,2
2020-08-17,288,287,240,23,6,2
2020-08-15,313,312,250,42,9,3
2020-08-08,260,259,204,26,5,1
2020-05-02,189,189,138,28,11,4
2020-06-29,301,300,215,30,8,1
2020-06-28,240,240,186,34,10,2
2020-04-18,125,125,85,16,8,4
2020-06-04,245,244,190,25,6,3
2015-10-25,522,519,461,45,7,3
2015-10-19,667,665,570,27,3,0
2015-10-10,649,647,578,52,8,2
2015-10-03,556,553,473,39,17,8
2015-10-05,597,593,519,29,8,1
2015-10-02,798,797,667,34,3,1
2015-09-03,665,663,593,46,11,2
2015-09-15,579,577,489,20,3,0
2015-09-20,556,554,493,44,12,3
2015-09-27,493,489,418,26,5,2
2015-09-26,557,554,502,45,8,3
2015-09-13,478,478,438,37,13,4
2015-09-17,744,742,651,42,8,3
2015-09-10,716,714,610,44,11,4
2015-09-22,571,570,509,36,6,1
2015-09-08,795,791,716,57,12,1
2015-09-01,626,620,549,37,6,2
2015-08-15,582,578,528,44,2,0
2015-08-20,600,600,537,40,6,1
2015-09-02,654,649,574,37,8,4
2015-08-25,595,591,540,44,4,1
2015-08-12,643,640,567,36,5,0
2015-08-18,623,620,563,53,15,2
2015-08-29,539,537,470,51,12,3
2015-08-13,714,713,641,55,8,1
2015-08-14,729,726,652,47,12,0
2015-08-11,601,600,522,38,9,1
2015-08-24,575,573,510,40,11,3
2015-07-26,551,551,492,50,17,5
2015-08-07,726,723,641,44,3,0
2015-07-29,629,628,558,38,5,1
2015-08-09,489,489,444,40,12,6
2015-08-04,666,660,591,39,4,1
2015-07-20,727,723,652,44,10,4
2015-08-05,619,618,548,31,5,1
2015-07-27,626,624,564,52,11,4
2015-08-02,550,548,486,39,10,3
2015-06-23,703,695,629,46,11,1
2015-06-24,778,774,706,63,12,6
2015-07-10,709,705,636,46,12,1
2015-06-22,774,770,681,55,12,3
2015-07-02,603,599,535,43,5,1
2015-06-25,670,668,587,35,6,1
2015-06-20,505,505,456,39,11,1
2015-07-08,620,617,549,35,7,1
2015-07-05,467,466,406,43,6,1
2015-07-07,646,643,586,40,4,1
2015-06-12,451,449,397,29,7,3
2015-05-21,615,612,547,33,8,2
2015-06-15,506,504,436,26,4,1
2015-05-22,727,723,642,51,9,2
2015-06-11,666,663,583,30,5,3
2015-05-25,420,419,362,39,9,2
2015-06-13,395,394,346,33,12,3
2015-05-24,432,428,377,40,9,3
2015-05-28,682,680,597,36,5,1
2015-05-31,555,554,483,48,13,3
2015-06-10,667,665,592,41,6,1
2015-06-04,552,550,490,24,7,2
2015-06-09,652,649,588,35,11,1
2015-04-29,679,679,591,41,7,0
2015-05-16,650,642,559,41,10,3
2015-05-08,709,703,626,46,7,1
2015-05-03,555,553,494,42,14,5
2015-05-02,540,540,486,31,8,2
2015-05-01,642,640,577,48,11,1
2015-05-12,684,684,603,49,10,6
2015-05-19,606,604,542,39,10,2
2015-05-17,543,542,487,44,9,4
2015-05-09,560,556,495,43,10,2
2020-06-20,246,246,187,26,8,5
2020-04-01,155,155,132,16,4,0
2020-04-02,167,167,138,15,6,1
