"","num_collisions","temp","visib","wdsp","prcp","fog","rain_drizzle","snow_ice_pellets","hail","thunder","date","year","no_v","one_v","two_v","three_v","four_v","five_v","day_of_week","isMon","isTue","isWed","isThur","isFri","isSat","isSun"
"1",538,83.6,9.7,4.1,0,0,0,0,0,0,"2012-07-01",2012,0,47,452,32,7,0,"1",1,0,0,0,0,0,0
"2",564,80.3,10,3.8,0,0,0,0,0,0,"2012-07-02",2012,0,54,470,35,3,2,"2",0,1,0,0,0,0,0
"3",664,79.8,10,2.9,0,0,0,0,0,0,"2012-07-03",2012,0,61,562,35,4,2,"3",0,0,1,0,0,0,0
"4",432,81.8,9.2,3.6,0.06,0,1,0,0,0,"2012-07-04",2012,0,52,345,19,13,3,"4",0,0,0,1,0,0,0
"5",591,86.7,9.4,3.8,0,0,1,0,0,0,"2012-07-05",2012,0,43,497,37,9,5,"5",0,0,0,0,1,0,0
"6",638,81.9,10,3.1,0,0,0,0,0,0,"2012-07-06",2012,0,48,544,38,4,4,"6",0,0,0,0,0,1,0
"7",490,84.9,9.5,3.1,0,0,0,0,0,0,"2012-07-07",2012,0,51,413,23,3,0,"7",0,0,0,0,0,0,1
"9",533,78.5,10,3.5,0.09,0,0,0,0,0,"2012-07-09",2012,0,54,441,28,8,2,"2",0,1,0,0,0,0,0
"10",524,76.5,10,3.4,0,0,0,0,0,0,"2012-07-10",2012,0,60,425,32,6,1,"3",0,0,1,0,0,0,0
"11",565,77.1,10,1.9,0,0,0,0,0,0,"2012-07-11",2012,0,52,478,30,5,0,"4",0,0,0,1,0,0,0
"12",577,77.4,10,2.3,0,0,0,0,0,0,"2012-07-12",2012,0,52,487,32,3,3,"5",0,0,0,0,1,0,0
"13",603,78.9,9.9,3,0,0,0,0,0,0,"2012-07-13",2012,0,50,514,27,10,2,"6",0,0,0,0,0,1,0
"14",536,78.5,10,3.5,0,1,0,0,0,0,"2012-07-14",2012,0,59,437,31,8,1,"7",0,0,0,0,0,0,1
"15",494,79.7,9.1,2.8,0,0,0,0,0,0,"2012-07-15",2012,0,43,420,23,8,0,"1",1,0,0,0,0,0,0
"17",648,84.6,9.4,3.5,0,0,0,0,0,0,"2012-07-17",2012,0,56,558,27,5,2,"3",0,0,1,0,0,0,0
"18",559,85.3,7.2,3.7,0,1,1,0,0,0,"2012-07-18",2012,0,54,469,31,4,1,"4",0,0,0,1,0,0,0
"22",498,72.5,10,2,0,0,0,0,0,0,"2012-07-22",2012,0,56,399,36,6,1,"1",1,0,0,0,0,0,0
"23",505,76,8.9,3,0,0,1,0,0,0,"2012-07-23",2012,0,50,421,22,9,3,"2",0,1,0,0,0,0,0
"25",612,76.5,10,4.2,0,0,0,0,0,0,"2012-07-25",2012,0,61,509,37,3,2,"4",0,0,0,1,0,0,0
"26",604,78,8.9,4.3,0,1,1,0,0,0,"2012-07-26",2012,0,54,510,32,5,3,"5",0,0,0,0,1,0,0
"28",513,75.5,7,3.9,0,1,1,0,0,0,"2012-07-28",2012,0,56,420,26,8,3,"7",0,0,0,0,0,0,1
"30",530,73.1,10,2.2,0.01,0,0,0,0,0,"2012-07-30",2012,0,62,438,22,7,1,"2",0,1,0,0,0,0,0
"31",540,73.4,10,3.8,0,0,1,0,0,0,"2012-07-31",2012,0,59,444,32,3,2,"3",0,0,1,0,0,0,0
"34",589,77.9,6,4.4,0,1,0,0,0,0,"2012-08-03",2012,0,55,506,25,1,2,"6",0,0,0,0,0,1,0
"35",568,77.9,5.7,4.1,0,1,0,0,0,0,"2012-08-04",2012,0,59,475,27,7,0,"7",0,0,0,0,0,0,1
"36",518,78.1,5.8,6.1,0,1,1,0,0,0,"2012-08-05",2012,0,57,422,30,5,4,"1",1,0,0,0,0,0,0
"38",547,75.2,10,1.2,0.01,0,0,0,0,0,"2012-08-07",2012,0,61,447,36,3,0,"3",0,0,1,0,0,0,0
"39",528,77.8,8.8,1.1,0,0,0,0,0,0,"2012-08-08",2012,0,51,448,21,7,1,"4",0,0,0,1,0,0,0
"40",581,78.2,9.3,2.3,0,0,0,0,0,0,"2012-08-09",2012,0,63,485,27,4,2,"5",0,0,0,0,1,0,0
"41",617,75.3,7.6,5.4,0,1,1,0,0,0,"2012-08-10",2012,0,53,518,40,5,1,"6",0,0,0,0,0,1,0
"44",504,76.3,9.2,4.3,0.05,0,0,0,0,0,"2012-08-13",2012,0,50,417,32,3,2,"2",0,1,0,0,0,0,0
"45",520,76,9.6,2.3,0,0,0,0,0,0,"2012-08-14",2012,0,51,436,26,4,3,"3",0,0,1,0,0,0,0
"46",602,73.6,6.5,3.5,0.01,1,1,0,0,0,"2012-08-15",2012,0,53,501,40,7,1,"4",0,0,0,1,0,0,0
"48",574,77.9,9.5,3.3,0,0,1,0,0,0,"2012-08-17",2012,0,48,482,34,8,2,"6",0,0,0,0,0,1,0
"49",540,69.8,8.4,4.1,0.01,0,1,0,0,0,"2012-08-18",2012,0,58,450,27,5,0,"7",0,0,0,0,0,0,1
"51",473,71.4,10,0.8,0,0,0,0,0,0,"2012-08-20",2012,0,43,395,27,7,1,"2",0,1,0,0,0,0,0
"52",482,72.8,10,2.5,0,0,0,0,0,0,"2012-08-21",2012,0,38,410,28,3,3,"3",0,0,1,0,0,0,0
"53",504,73.8,9.8,1.7,0,0,0,0,0,0,"2012-08-22",2012,0,40,428,28,7,1,"4",0,0,0,1,0,0,0
"54",574,74.7,8.9,2,0,0,0,0,0,0,"2012-08-23",2012,0,46,483,36,6,3,"5",0,0,0,0,1,0,0
"55",601,77.3,9.3,2,0,0,0,0,0,0,"2012-08-24",2012,0,49,505,41,4,2,"6",0,0,0,0,0,1,0
"56",474,75.7,7.3,3.2,0.01,1,0,0,0,0,"2012-08-25",2012,0,49,383,30,6,6,"7",0,0,0,0,0,0,1
"57",471,73.9,10,4.6,0,0,0,0,0,0,"2012-08-26",2012,0,53,382,28,8,0,"1",1,0,0,0,0,0,0
"58",548,71.9,8.6,2.7,0.01,1,1,0,0,0,"2012-08-27",2012,0,52,460,33,2,1,"2",0,1,0,0,0,0,0
"60",550,73.3,10,4.7,0.01,0,0,0,0,0,"2012-08-29",2012,0,35,473,38,2,2,"4",0,0,0,1,0,0,0
"61",618,72,10,2.5,0,0,0,0,0,0,"2012-08-30",2012,0,56,532,24,4,2,"5",0,0,0,0,1,0,0
"62",701,78.7,9.9,3.9,0,0,0,0,0,0,"2012-08-31",2012,0,58,585,41,13,4,"6",0,0,0,0,0,1,0
"63",515,81.6,9.9,4.7,0,0,0,0,0,0,"2012-09-01",2012,0,47,422,33,9,4,"7",0,0,0,0,0,0,1
"64",421,75.4,9.8,3.2,0,0,0,0,0,0,"2012-09-02",2012,0,44,352,22,2,1,"1",1,0,0,0,0,0,0
"65",373,73.8,10,4.5,0,0,0,0,0,0,"2012-09-03",2012,0,39,301,25,6,2,"2",0,1,0,0,0,0,0
"66",606,72.6,8.8,4.7,0.02,0,1,0,0,0,"2012-09-04",2012,0,72,486,38,7,3,"3",0,0,1,0,0,0,0
"69",680,77,8.7,2.7,0,0,0,0,0,0,"2012-09-07",2012,0,57,577,38,6,2,"6",0,0,0,0,0,1,0
"70",598,75.3,8.8,5.8,0,1,1,0,0,0,"2012-09-08",2012,0,73,487,32,5,1,"7",0,0,0,0,0,0,1
"71",464,68.4,9.5,3,0.04,0,1,0,0,0,"2012-09-09",2012,0,58,370,27,7,2,"1",1,0,0,0,0,0,0
"73",521,62.8,10,3.1,0,0,0,0,0,0,"2012-09-11",2012,0,43,448,25,4,1,"3",0,0,1,0,0,0,0
"74",651,68.5,10,2.1,0,0,0,0,0,0,"2012-09-12",2012,0,49,560,31,9,2,"4",0,0,0,1,0,0,0
"75",632,70.4,10,3.2,0,0,0,0,0,0,"2012-09-13",2012,0,58,540,27,7,0,"5",0,0,0,0,1,0,0
"76",609,70.5,9.7,2.3,0,0,0,0,0,0,"2012-09-14",2012,0,57,509,32,10,1,"6",0,0,0,0,0,1,0
"77",557,67.2,10,5.1,0.01,0,1,0,0,0,"2012-09-15",2012,0,44,479,21,9,4,"7",0,0,0,0,0,0,1
"78",458,65.1,10,1.9,0,0,0,0,0,0,"2012-09-16",2012,0,34,393,28,3,0,"1",1,0,0,0,0,0,0
"79",452,66.5,10,2.2,0,0,0,0,0,0,"2012-09-17",2012,0,53,368,25,6,0,"2",0,1,0,0,0,0,0
"82",522,61,10,4.6,0.04,0,0,0,0,0,"2012-09-20",2012,0,42,446,24,9,1,"5",0,0,0,0,1,0,0
"83",654,64.7,10,4.7,0,0,1,0,0,0,"2012-09-21",2012,0,56,554,34,9,1,"6",0,0,0,0,0,1,0
"84",547,66.3,8.1,5.6,0.01,0,1,0,0,0,"2012-09-22",2012,0,67,439,33,7,1,"7",0,0,0,0,0,0,1
"86",562,59,10,3.3,0,0,0,0,0,0,"2012-09-24",2012,0,54,478,25,4,1,"2",0,1,0,0,0,0,0
"87",594,62,10,4.9,0,0,0,0,0,0,"2012-09-25",2012,0,70,486,31,4,3,"3",0,0,1,0,0,0,0
"88",404,67.7,10,4.3,0,0,0,0,0,0,"2012-09-26",2012,0,49,335,17,2,1,"4",0,0,0,1,0,0,0
"89",620,69,8.7,1.8,0.01,0,1,0,0,0,"2012-09-27",2012,0,57,527,28,5,3,"5",0,0,0,0,1,0,0
"94",593,63.7,7.3,2.4,0,0,1,0,0,0,"2012-10-02",2012,0,62,497,29,4,1,"3",0,0,1,0,0,0,0
"97",693,67.8,8.4,3.3,0,0,0,0,0,0,"2012-10-05",2012,0,69,570,46,4,4,"6",0,0,0,0,0,1,0
"98",500,66.1,7,5.2,0.01,1,0,0,0,0,"2012-10-06",2012,0,52,411,31,5,1,"7",0,0,0,0,0,0,1
"99",481,52.5,9.3,2,0.04,0,1,0,0,0,"2012-10-07",2012,0,74,378,17,5,7,"1",1,0,0,0,0,0,0
"102",640,58.2,7.5,5.2,0.03,0,1,0,0,0,"2012-10-10",2012,0,75,525,34,5,1,"4",0,0,0,1,0,0,0
"103",657,53.4,10,5.5,0.02,0,0,0,0,0,"2012-10-11",2012,0,74,538,36,9,0,"5",0,0,0,0,1,0,0
"104",594,51.2,10,5.3,0,0,0,0,0,0,"2012-10-12",2012,0,58,494,30,7,5,"6",0,0,0,0,0,1,0
"105",547,45.2,10,3.1,0,0,0,0,0,0,"2012-10-13",2012,0,50,457,33,5,2,"7",0,0,0,0,0,0,1
"106",517,58.7,10,5,0,0,0,0,0,0,"2012-10-14",2012,0,48,426,28,11,4,"1",1,0,0,0,0,0,0
"107",607,65.3,9.4,4.5,0,0,1,0,0,0,"2012-10-15",2012,0,56,508,38,5,0,"2",0,1,0,0,0,0,0
"109",615,51.9,10,1.3,0,0,0,0,0,0,"2012-10-17",2012,0,69,497,43,3,3,"4",0,0,0,1,0,0,0
"110",630,56.8,9.7,3.1,0,0,0,0,0,0,"2012-10-18",2012,0,52,532,38,5,3,"5",0,0,0,0,1,0,0
"113",426,56.5,10,5,0,0,0,0,0,0,"2012-10-21",2012,0,44,342,34,4,2,"1",1,0,0,0,0,0,0
"114",609,57.8,10,4.3,0,0,0,0,0,0,"2012-10-22",2012,0,61,518,27,3,0,"2",0,1,0,0,0,0,0
"115",522,59,9.7,2.2,0,0,1,0,0,0,"2012-10-23",2012,0,51,452,16,3,0,"3",0,0,1,0,0,0,0
"116",494,57.1,6.4,4.1,0.07,0,1,0,0,0,"2012-10-24",2012,0,56,401,28,8,1,"4",0,0,0,1,0,0,0
"117",511,58,10,3,0,0,0,0,0,0,"2012-10-25",2012,0,53,426,28,3,1,"5",0,0,0,0,1,0,0
"118",598,60.8,10,1.5,0,0,0,0,0,0,"2012-10-26",2012,0,62,500,27,7,2,"6",0,0,0,0,0,1,0
"119",524,61.9,9.6,4.3,0,0,0,0,0,0,"2012-10-27",2012,0,50,442,25,4,3,"7",0,0,0,0,0,0,1
"120",403,57.7,9.6,11.9,0,0,0,0,0,0,"2012-10-28",2012,0,41,328,21,9,4,"1",1,0,0,0,0,0,0
"121",298,56.9,6.1,18.7,0.03,0,1,0,0,0,"2012-10-29",2012,0,149,135,11,2,1,"2",0,1,0,0,0,0,0
"123",549,49.7,8.6,5.5,0.06,0,1,0,0,0,"2012-10-31",2012,0,79,448,16,5,1,"4",0,0,0,1,0,0,0
"124",439,47.7,10,6,0.04,0,0,0,0,0,"2012-11-01",2012,0,43,376,14,5,1,"5",0,0,0,0,1,0,0
"125",345,48.2,10,5.2,0,0,1,0,0,0,"2012-11-02",2012,0,40,291,12,2,0,"6",0,0,0,0,0,1,0
"126",307,44.7,10,7.6,0.01,0,0,0,0,0,"2012-11-03",2012,0,30,263,13,1,0,"7",0,0,0,0,0,0,1
"127",344,43.2,10,6.1,0,0,0,0,0,0,"2012-11-04",2012,0,43,281,14,6,0,"1",1,0,0,0,0,0,0
"128",479,42.3,10,5.5,0,0,1,0,0,0,"2012-11-05",2012,0,48,407,20,4,0,"2",0,1,0,0,0,0,0
"129",514,36.6,10,4.8,0.07,0,0,0,0,0,"2012-11-06",2012,0,57,426,25,5,1,"3",0,0,1,0,0,0,0
"130",718,37.1,7.3,10.1,0,1,1,1,0,0,"2012-11-07",2012,0,111,571,32,4,0,"4",0,0,0,1,0,0,0
"133",444,48,7.9,2,0,0,0,0,0,0,"2012-11-10",2012,0,47,368,18,6,5,"7",0,0,0,0,0,0,1
"134",526,54.7,7,1.6,0,0,0,0,0,0,"2012-11-11",2012,0,72,418,28,6,2,"1",1,0,0,0,0,0,0
"135",547,56.7,7.4,2.9,0,1,0,0,0,0,"2012-11-12",2012,0,70,438,33,4,2,"2",0,1,0,0,0,0,0
"136",648,52.4,8.8,6.1,0.06,0,1,0,0,0,"2012-11-13",2012,0,65,539,31,7,6,"3",0,0,1,0,0,0,0
"138",623,40.4,10,5.3,0,0,0,0,0,0,"2012-11-15",2012,0,67,532,20,3,1,"5",0,0,0,0,1,0,0
"139",672,41.9,9.7,5.8,0,0,1,0,0,0,"2012-11-16",2012,0,60,572,39,1,0,"6",0,0,0,0,0,1,0
"140",542,43.6,10,4.7,0,0,0,0,0,0,"2012-11-17",2012,0,58,440,34,5,5,"7",0,0,0,0,0,0,1
"141",446,43.2,9.8,5.5,0,0,0,0,0,0,"2012-11-18",2012,0,45,367,27,5,2,"1",1,0,0,0,0,0,0
"142",585,43,10,6.3,0,0,0,0,0,0,"2012-11-19",2012,0,51,498,31,4,1,"2",0,1,0,0,0,0,0
"143",671,44.4,10,3.6,0,0,0,0,0,0,"2012-11-20",2012,0,68,570,27,3,3,"3",0,0,1,0,0,0,0
"144",689,46.5,10,4.2,0,0,0,0,0,0,"2012-11-21",2012,0,57,597,28,7,0,"4",0,0,0,1,0,0,0
"145",384,47.3,10,3.4,0,0,0,0,0,0,"2012-11-22",2012,0,28,316,29,6,5,"5",0,0,0,0,1,0,0
"146",481,48.3,8.9,3.4,0,1,0,0,0,0,"2012-11-23",2012,0,51,407,18,4,1,"6",0,0,0,0,0,1,0
"147",458,44.1,9.5,7.6,0.01,1,1,0,0,0,"2012-11-24",2012,0,40,386,27,4,1,"7",0,0,0,0,0,0,1
"148",415,36.6,10,7.1,0,0,0,0,0,0,"2012-11-25",2012,0,30,346,30,5,4,"1",1,0,0,0,0,0,0
"149",563,40.3,10,4.9,0,0,0,0,0,0,"2012-11-26",2012,0,49,476,31,5,2,"2",0,1,0,0,0,0,0
"150",583,38.7,7,4.4,0,0,1,1,0,0,"2012-11-27",2012,0,81,476,24,1,1,"3",0,0,1,0,0,0,0
"152",515,37.5,9.7,5.8,0.01,0,0,0,0,0,"2012-11-29",2012,0,57,428,24,6,0,"5",0,0,0,0,1,0,0
"153",576,41.3,9.3,4.7,0,0,0,0,0,0,"2012-11-30",2012,0,63,482,28,2,1,"6",0,0,0,0,0,1,0
"154",480,38.5,9.3,9.2,0,0,1,0,0,0,"2012-12-01",2012,0,50,390,30,9,1,"7",0,0,0,0,0,0,1
"155",455,44.3,3.9,3,0.08,1,0,0,0,0,"2012-12-02",2012,0,60,355,29,8,3,"1",1,0,0,0,0,0,0
"156",621,53.5,7,3.9,0.04,0,1,0,0,0,"2012-12-03",2012,0,59,529,31,1,1,"2",0,1,0,0,0,0,0
"157",621,51.9,5.6,2.9,0.04,1,1,0,0,0,"2012-12-04",2012,0,60,511,38,7,5,"3",0,0,1,0,0,0,0
"158",514,52.6,9.1,6.3,0.01,0,1,0,0,0,"2012-12-05",2012,0,65,417,26,5,1,"4",0,0,0,1,0,0,0
"159",620,35,10,3.6,0.01,0,0,0,0,0,"2012-12-06",2012,0,52,526,30,10,2,"5",0,0,0,0,1,0,0
"160",714,38.8,7.9,1.9,0,0,1,0,0,0,"2012-12-07",2012,0,110,563,35,3,3,"6",0,0,0,0,0,1,0
"165",550,40.1,10,3.3,0.01,0,0,0,0,0,"2012-12-12",2012,0,52,466,26,5,1,"4",0,0,0,1,0,0,0
"166",545,40.3,10,1.7,0,0,0,0,0,0,"2012-12-13",2012,0,62,455,23,5,0,"5",0,0,0,0,1,0,0
"167",648,41.4,10,4.1,0,0,0,0,0,0,"2012-12-14",2012,0,73,527,41,3,4,"6",0,0,0,0,0,1,0
"168",523,42.6,9.9,2.8,0,0,0,0,0,0,"2012-12-15",2012,0,59,427,32,3,2,"7",0,0,0,0,0,0,1
"169",500,44.5,7.5,6.5,0,0,1,0,0,0,"2012-12-16",2012,0,80,365,41,11,3,"1",1,0,0,0,0,0,0
"172",590,44,10,9.3,0.07,0,1,0,0,0,"2012-12-19",2012,0,60,485,38,6,1,"4",0,0,0,1,0,0,0
"173",606,39.8,10,8.5,0.02,0,1,0,0,0,"2012-12-20",2012,0,56,514,36,0,0,"5",0,0,0,0,1,0,0
"176",408,37.8,10,7.6,0.01,0,0,0,0,0,"2012-12-23",2012,0,31,344,24,5,4,"1",1,0,0,0,0,0,0
"177",518,37,10,3,0,0,0,0,0,0,"2012-12-24",2012,0,54,438,22,3,1,"2",0,1,0,0,0,0,0
"178",354,37.5,6.8,4.8,0.01,0,1,1,0,0,"2012-12-25",2012,0,51,283,14,5,1,"3",0,0,1,0,0,0,0
"182",442,32.5,7.8,5.3,0,1,1,1,0,0,"2012-12-29",2012,0,80,322,29,10,1,"7",0,0,0,0,0,0,1
"184",482,31.5,10,6.8,0,0,0,0,0,0,"2012-12-31",2012,0,59,394,23,4,2,"2",0,1,0,0,0,0,0
"185",381,38,10,15,0,0,0,0,0,0,"2013-01-01",2013,0,62,278,29,10,2,"3",0,0,1,0,0,0,0
"186",480,27.5,10,12.4,0,0,0,0,0,0,"2013-01-02",2013,0,44,397,28,10,1,"4",0,0,0,1,0,0,0
"187",549,21.8,10,9.8,0,0,0,0,0,0,"2013-01-03",2013,0,62,453,30,2,2,"5",0,0,0,0,1,0,0
"188",505,32.2,10,11.3,0,0,0,0,0,0,"2013-01-04",2013,0,47,430,23,4,1,"6",0,0,0,0,0,1,0
"189",389,37.3,10,13.2,0,0,0,0,0,0,"2013-01-05",2013,0,44,317,21,5,2,"7",0,0,0,0,0,0,1
"190",393,35.7,9.8,5.9,0.01,0,1,0,0,0,"2013-01-06",2013,0,42,310,28,12,1,"1",1,0,0,0,0,0,0
"191",521,35.9,8.8,8.5,0.01,0,0,0,0,0,"2013-01-07",2013,0,58,430,29,2,2,"2",0,1,0,0,0,0,0
"192",513,39.8,9.8,10.4,0,0,0,0,0,0,"2013-01-08",2013,0,50,431,24,7,1,"3",0,0,1,0,0,0,0
"193",487,39.9,6.8,5.3,0,1,0,0,0,0,"2013-01-09",2013,0,57,403,17,9,1,"4",0,0,0,1,0,0,0
"194",555,43.5,9.9,14.7,0,0,0,0,0,0,"2013-01-10",2013,0,77,444,29,4,1,"5",0,0,0,0,1,0,0
"195",660,38,10,5.4,0,0,0,0,0,0,"2013-01-11",2013,2,119,497,31,10,1,"6",0,0,0,0,0,1,0
"197",373,45.4,4.3,5.8,0.01,1,0,0,0,0,"2013-01-13",2013,1,56,281,28,4,3,"1",1,0,0,0,0,0,0
"202",561,28.1,7.5,15,0.01,1,1,1,0,0,"2013-01-18",2013,0,45,485,24,3,4,"6",0,0,0,0,0,1,0
"203",484,35.9,9.2,15.3,0,0,0,0,0,0,"2013-01-19",2013,0,50,404,28,2,0,"7",0,0,0,0,0,0,1
"204",393,46.3,7,14.9,0,0,0,0,0,0,"2013-01-20",2013,1,39,316,25,7,5,"1",1,0,0,0,0,0,0
"205",355,31.2,9.2,10.1,0,0,0,1,0,0,"2013-01-21",2013,0,48,276,24,2,5,"2",0,1,0,0,0,0,0
"207",545,16.2,10,15.6,0.01,0,0,0,0,0,"2013-01-23",2013,1,55,449,32,7,1,"4",0,0,0,1,0,0,0
"208",554,14.3,10,15.5,0,0,0,0,0,0,"2013-01-24",2013,0,65,447,31,9,2,"5",0,0,0,0,1,0,0
"209",674,19,10,13.6,0,0,0,0,0,0,"2013-01-25",2013,2,77,555,32,6,2,"6",0,0,0,0,0,1,0
"210",558,24.4,8.6,10.5,0,0,0,1,0,0,"2013-01-26",2013,0,84,424,41,7,2,"7",0,0,0,0,0,0,1
"211",429,21.7,10,16.3,0,0,0,0,0,0,"2013-01-27",2013,0,60,334,30,5,0,"1",1,0,0,0,0,0,0
"212",507,27.3,8.8,7.4,0,0,1,1,0,0,"2013-01-28",2013,0,86,388,23,6,4,"2",0,1,0,0,0,0,0
"214",497,45.1,4.4,12.4,0.03,1,1,0,0,0,"2013-01-30",2013,0,58,404,27,4,4,"4",0,0,0,1,0,0,0
"217",534,27.6,10,12.5,0,0,0,0,0,0,"2013-02-02",2013,0,58,432,36,7,1,"7",0,0,0,0,0,0,1
"218",445,30.7,8.2,9.8,0.01,0,0,1,0,0,"2013-02-03",2013,0,49,347,37,7,5,"1",1,0,0,0,0,0,0
"219",553,29,8.8,15.5,0,0,0,1,0,0,"2013-02-04",2013,0,65,450,28,6,4,"2",0,1,0,0,0,0,0
"220",566,28.7,7.8,8.2,0,0,0,1,0,0,"2013-02-05",2013,0,78,463,18,5,2,"3",0,0,1,0,0,0,0
"221",566,34.8,9,6.1,0.02,0,0,1,0,0,"2013-02-06",2013,3,68,454,28,8,5,"4",0,0,0,1,0,0,0
"222",526,29.4,10,10.2,0,0,0,0,0,0,"2013-02-07",2013,0,70,427,23,4,2,"5",0,0,0,0,1,0,0
"223",703,34.3,7.3,16.3,0,0,1,1,0,0,"2013-02-08",2013,2,118,529,46,6,2,"6",0,0,0,0,0,1,0
"225",400,24.7,8.9,16.4,0.06,0,0,1,0,0,"2013-02-10",2013,0,50,315,30,3,2,"1",1,0,0,0,0,0,0
"226",475,36.4,7.6,9.8,0,0,1,0,0,0,"2013-02-11",2013,0,74,376,23,2,0,"2",0,1,0,0,0,0,0
"228",570,36.1,10,7.7,0,0,0,0,0,0,"2013-02-13",2013,2,71,467,24,4,2,"4",0,0,0,1,0,0,0
"230",604,38.6,9.8,6,0,0,0,0,0,0,"2013-02-15",2013,0,77,486,34,6,1,"6",0,0,0,0,0,1,0
"231",449,39.2,9.2,8.6,0,1,0,0,0,0,"2013-02-16",2013,0,42,376,24,4,3,"7",0,0,0,0,0,0,1
"234",477,36.7,10,10.6,0,0,1,0,0,0,"2013-02-19",2013,1,81,371,17,5,2,"3",0,0,1,0,0,0,0
"236",498,30.6,10,17.3,0.03,0,0,0,0,0,"2013-02-21",2013,0,59,409,22,4,4,"5",0,0,0,0,1,0,0
"237",531,35.4,9.8,14.2,0,1,1,1,0,0,"2013-02-22",2013,1,59,437,29,5,0,"6",0,0,0,0,0,1,0
"238",521,36.3,9.7,7,0,0,1,1,0,0,"2013-02-23",2013,0,74,408,27,8,4,"7",0,0,0,0,0,0,1
"241",537,35,10,5,0.02,0,0,0,0,0,"2013-02-26",2013,0,74,420,31,10,2,"3",0,0,1,0,0,0,0
"244",603,39.3,9.4,10.6,0.08,0,1,0,0,0,"2013-03-01",2013,0,57,521,21,4,0,"6",0,0,0,0,0,1,0
"245",474,38.2,10,9.4,0,0,0,0,0,0,"2013-03-02",2013,0,42,393,30,6,3,"7",0,0,0,0,0,0,1
"246",502,37.4,10,7.1,0,0,0,0,0,0,"2013-03-03",2013,1,62,405,26,6,2,"1",1,0,0,0,0,0,0
"247",597,37,10,11.5,0,0,0,0,0,0,"2013-03-04",2013,0,60,491,32,11,3,"2",0,1,0,0,0,0,0
"248",527,38.5,9.9,14.9,0,0,1,0,0,0,"2013-03-05",2013,1,48,448,29,1,0,"3",0,0,1,0,0,0,0
"249",475,39.1,9.4,13.5,0.02,0,1,0,0,0,"2013-03-06",2013,1,68,388,11,4,3,"4",0,0,0,1,0,0,0
"253",415,39,10,11.9,0,0,0,0,0,0,"2013-03-10",2013,1,34,346,26,7,1,"1",1,0,0,0,0,0,0
"254",522,39.9,10,6.5,0,0,0,0,0,0,"2013-03-11",2013,1,53,439,23,5,1,"2",0,1,0,0,0,0,0
"255",547,46,7.5,13.1,0,0,1,0,0,0,"2013-03-12",2013,0,79,435,25,6,2,"3",0,0,1,0,0,0,0
"258",607,31.2,10,18.5,0,0,0,0,0,0,"2013-03-15",2013,1,47,522,32,3,2,"6",0,0,0,0,0,1,0
"259",521,37.1,10,10.2,0,0,0,0,0,0,"2013-03-16",2013,2,68,413,32,6,0,"7",0,0,0,0,0,0,1
"260",426,34.8,9.9,7.5,0,0,0,1,0,0,"2013-03-17",2013,0,40,352,27,6,1,"1",1,0,0,0,0,0,0
"261",623,32.1,10,9,0,0,0,0,0,0,"2013-03-18",2013,1,72,500,38,9,3,"2",0,1,0,0,0,0,0
"264",508,38.3,9.8,10.9,0,0,0,0,0,0,"2013-03-21",2013,1,45,427,32,2,1,"5",0,0,0,0,1,0,0
"266",488,38.5,10,15.9,0.02,0,0,0,0,0,"2013-03-23",2013,0,53,404,23,7,1,"7",0,0,0,0,0,0,1
"267",451,39.1,10,10.4,0,0,0,0,0,0,"2013-03-24",2013,1,59,360,24,5,2,"1",1,0,0,0,0,0,0
"268",498,38.1,10,9.7,0,0,1,1,0,0,"2013-03-25",2013,2,62,407,21,5,1,"2",0,1,0,0,0,0,0
"269",425,39.8,9.7,15.5,0.05,0,1,1,0,0,"2013-03-26",2013,0,46,348,25,5,1,"3",0,0,1,0,0,0,0
"270",441,41.7,10,9.4,0.01,0,0,0,0,0,"2013-03-27",2013,0,52,360,22,5,2,"4",0,0,0,1,0,0,0
"271",549,42.5,9.9,12.5,0.02,0,1,0,0,0,"2013-03-28",2013,0,55,450,33,5,6,"5",0,0,0,0,1,0,0
"272",520,45.2,10,8.9,0.02,0,0,0,0,0,"2013-03-29",2013,2,48,428,34,4,4,"6",0,0,0,0,0,1,0
"273",513,44.5,10,7,0.02,0,0,0,0,0,"2013-03-30",2013,1,70,401,28,9,4,"7",0,0,0,0,0,0,1
"274",426,43,10,7.1,0,0,0,0,0,0,"2013-03-31",2013,0,43,335,39,5,4,"1",1,0,0,0,0,0,0
"276",437,39.6,9.9,17.2,0.02,0,1,0,0,0,"2013-04-02",2013,1,43,365,23,4,1,"3",0,0,1,0,0,0,0
"277",532,42.6,10,17,0,0,0,0,0,0,"2013-04-03",2013,0,69,432,28,2,1,"4",0,0,0,1,0,0,0
"278",566,39,10,14,0,0,0,0,0,0,"2013-04-04",2013,0,48,485,26,7,0,"5",0,0,0,0,1,0,0
"279",582,42.9,8.7,8,0.01,0,1,0,0,0,"2013-04-05",2013,0,54,498,21,5,4,"6",0,0,0,0,0,1,0
"281",451,39.7,10,9.2,0,0,0,0,0,0,"2013-04-07",2013,0,43,370,36,2,0,"1",1,0,0,0,0,0,0
"282",582,50,9.1,9.4,0,0,0,0,0,0,"2013-04-08",2013,0,48,491,33,7,3,"2",0,1,0,0,0,0,0
"283",613,49.4,6.7,10.7,0,1,1,0,0,0,"2013-04-09",2013,0,59,502,43,8,1,"3",0,0,1,0,0,0,0
