"","collision_date","NUM_COLLISIONS","vehicle_1","vehicle_2","vehicle_3","vehicle_4","vehicle_5","date","year","no_v","one_v","two_v","three_v","four_v","five_v"
"62","2016-06-19",559,558,484,63,18,4,2016-06-19,2016,1,74,421,45,14,4
"63","2016-06-23",643,643,555,29,6,1,2016-06-23,2016,0,88,526,23,5,1
"64","2016-06-07",709,708,619,40,6,1,2016-06-07,2016,1,89,579,34,5,1
"65","2016-06-12",587,584,478,42,12,2,2016-06-12,2016,3,106,436,30,10,2
"66","2016-05-29",566,565,492,50,12,0,2016-05-29,2016,1,73,442,38,12,0
"67","2016-05-28",627,626,541,49,7,4,2016-05-28,2016,1,85,492,42,3,4
"68","2016-05-12",744,744,645,55,10,2,2016-05-12,2016,0,99,590,45,8,2
"69","2016-05-23",652,649,552,40,7,3,2016-05-23,2016,3,97,512,33,4,3
"70","2016-05-21",568,566,489,42,8,2,2016-05-21,2016,2,77,447,34,6,2
"71","2016-04-17",568,565,472,49,10,2,2016-04-17,2016,3,93,423,39,8,2
"72","2016-05-02",589,586,481,31,7,4,2016-05-02,2016,3,105,450,24,3,4
"73","2016-03-29",683,678,585,43,5,3,2016-03-29,2016,5,93,542,38,2,3
"74","2016-04-23",649,644,528,54,10,3,2016-04-23,2016,5,116,474,44,7,3
"75","2016-04-27",510,508,449,21,7,0,2016-04-27,2016,2,59,428,14,7,0
"76","2016-04-30",581,579,495,43,9,3,2016-04-30,2016,2,84,452,34,6,3
"77","2016-04-19",732,725,627,34,5,2,2016-04-19,2016,7,98,593,29,3,2
"78","2016-03-23",621,619,532,35,6,0,2016-03-23,2016,2,87,497,29,6,0
"79","2016-04-10",499,497,431,31,9,3,2016-04-10,2016,2,66,400,22,6,3
"80","2016-03-18",644,639,548,28,3,0,2016-03-18,2016,5,91,520,25,3,0
"81","2016-03-22",628,624,519,36,9,1,2016-03-22,2016,4,105,483,27,8,1
"82","2016-03-16",629,625,531,26,6,1,2016-03-16,2016,4,94,505,20,5,1
"83","2016-04-02",597,596,477,39,10,1,2016-04-02,2016,1,119,438,29,9,1
"84","2016-04-05",672,671,569,41,5,1,2016-04-05,2016,1,102,528,36,4,1
"85","2016-03-24",635,633,546,45,10,5,2016-03-24,2016,2,87,501,35,5,5
"86","2016-03-31",652,647,546,29,5,1,2016-03-31,2016,5,101,517,24,4,1
"87","2016-03-30",650,648,560,32,6,1,2016-03-30,2016,2,88,528,26,5,1
"88","2016-01-23",402,401,342,38,9,3,2016-01-23,2016,1,59,304,29,6,3
"89","2016-02-26",476,474,418,34,6,0,2016-02-26,2016,2,56,384,28,6,0
"90","2016-03-06",500,497,432,38,11,1,2016-03-06,2016,3,65,394,27,10,1
"91","2016-03-04",685,684,603,44,15,2,2016-03-04,2016,1,81,559,29,13,2
"92","2016-02-23",623,620,519,32,6,2,2016-02-23,2016,3,101,487,26,4,2
"93","2016-03-05",601,600,522,39,12,3,2016-03-05,2016,1,78,483,27,9,3
"94","2016-02-20",555,552,493,43,9,3,2016-02-20,2016,3,59,450,34,6,3
"95","2016-02-28",509,508,455,38,12,7,2016-02-28,2016,1,53,417,26,5,7
"96","2016-02-27",388,388,340,32,8,3,2016-02-27,2016,0,48,308,24,5,3
"97","2016-02-11",622,620,521,28,4,2,2016-02-11,2016,2,99,493,24,2,2
"98","2016-02-05",607,603,494,35,9,5,2016-02-05,2016,4,109,459,26,4,5
"99","2016-01-24",517,515,456,17,4,2,2016-01-24,2016,2,59,439,13,2,2
"100","2016-01-27",670,667,579,35,5,1,2016-01-27,2016,3,88,544,30,4,1
"101","2016-02-16",615,614,518,35,5,1,2016-02-16,2016,1,96,483,30,4,1
"102","2016-02-13",480,480,428,31,12,7,2016-02-13,2016,0,52,397,19,5,7
"103","2016-02-06",553,552,491,35,12,2,2016-02-06,2016,1,61,456,23,10,2
"104","2016-01-25",658,655,575,24,1,0,2016-01-25,2016,3,80,551,23,1,0
"105","2016-01-28",681,680,597,28,7,2,2016-01-28,2016,1,83,569,21,5,2
"106","2016-01-30",596,595,514,35,7,2,2016-01-30,2016,1,81,479,28,5,2
"107","2016-01-26",734,730,638,25,4,0,2016-01-26,2016,4,92,613,21,4,0
"108","2016-01-22",702,697,600,34,7,2,2016-01-22,2016,5,97,566,27,5,2
"109","2016-01-04",601,596,510,35,8,3,2016-01-04,2016,5,86,475,27,5,3
"110","2016-01-19",662,658,565,33,4,1,2016-01-19,2016,4,93,532,29,3,1
"111","2015-12-25",321,321,280,33,7,3,2015-12-25,2015,0,41,247,26,4,3
"112","2015-12-31",527,525,462,26,8,1,2015-12-31,2015,2,63,436,18,7,1
"113","2015-12-29",533,531,442,21,6,1,2015-12-29,2015,2,89,421,15,5,1
"114","2016-01-15",722,718,647,49,9,3,2016-01-15,2016,4,71,598,40,6,3
"115","2016-01-06",625,620,544,32,6,1,2016-01-06,2016,5,76,512,26,5,1
"116","2016-01-13",605,599,527,41,8,2,2016-01-13,2016,6,72,486,33,6,2
"117","2016-01-01",393,393,346,41,19,4,2016-01-01,2016,0,47,305,22,15,4
"118","2015-12-22",699,697,627,53,7,0,2015-12-22,2015,2,70,574,46,7,0
"119","2015-12-23",805,802,668,34,10,3,2015-12-23,2015,3,134,634,24,7,3
"120","2015-11-15",500,500,437,52,9,3,2015-11-15,2015,0,63,385,43,6,3
"121","2015-10-26",698,697,616,50,8,3,2015-10-26,2015,1,81,566,42,5,3
"122","2015-10-22",666,663,573,35,2,1,2015-10-22,2015,3,90,538,33,1,1
"123","2015-12-04",680,678,595,36,6,1,2015-12-04,2015,2,83,559,30,5,1
"124","2015-11-26",383,383,344,33,11,3,2015-11-26,2015,0,39,311,22,8,3
"125","2015-12-12",578,575,513,42,8,4,2015-12-12,2015,3,62,471,34,4,4
"126","2015-12-13",549,546,486,30,3,1,2015-12-13,2015,3,60,456,27,2,1
"127","2015-12-07",668,667,581,33,9,3,2015-12-07,2015,1,86,548,24,6,3
"128","2015-11-28",508,506,445,39,11,4,2015-11-28,2015,2,61,406,28,7,4
"129","2015-12-01",746,741,622,44,10,1,2015-12-01,2015,5,119,578,34,9,1
"130","2015-11-27",480,479,417,35,8,2,2015-11-27,2015,1,62,382,27,6,2
"131","2015-11-25",717,714,642,48,6,2,2015-11-25,2015,3,72,594,42,4,2
