"","num_collisions","temp","visib","wdsp","prcp","fog","year_2012","year_2013","year_2014","year_2015","year_2016","year_2017","year_2018","year_2019","year_2020","year_2021","year_2022","no_v","one_v","two_v","three_v","four_v","five_v","day_of_week_1","day_of_week_2","day_of_week_3","day_of_week_4","day_of_week_5","day_of_week_6","day_of_week_7","isMon","isTue","isWed","isThur","isFri","isSat","isSun","month_1","month_2","month_3","month_4","month_5","month_6","month_7","month_8","month_9","month_10","month_11","month_12","day"
"28",513,75.5,7,3.9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,56,420,26,8,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,28
"29",376,71.7,9.4,3.2,0.18,0,1,0,0,0,0,0,0,0,0,0,0,0,37,312,18,7,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29
"30",530,73.1,10,2.2,0.01,0,1,0,0,0,0,0,0,0,0,0,0,0,62,438,22,7,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30
"31",540,73.4,10,3.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59,444,32,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31
"32",616,72.2,7.8,2.5,0.55,1,1,0,0,0,0,0,0,0,0,0,0,0,45,521,41,8,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"33",570,75,6.2,2.7,0.11,1,1,0,0,0,0,0,0,0,0,0,0,0,57,476,34,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"34",589,77.9,6,4.4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,55,506,25,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
"35",568,77.9,5.7,4.1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,59,475,27,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4
"36",518,78.1,5.8,6.1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,57,422,30,5,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
"37",593,77.3,8.9,5.5,0.49,0,1,0,0,0,0,0,0,0,0,0,0,0,54,498,31,7,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
"38",547,75.2,10,1.2,0.01,0,1,0,0,0,0,0,0,0,0,0,0,0,61,447,36,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
"39",528,77.8,8.8,1.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51,448,21,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
"40",581,78.2,9.3,2.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,63,485,27,4,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9
"41",617,75.3,7.6,5.4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,53,518,40,5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10
"42",507,77.7,7.8,6.9,1.1,0,1,0,0,0,0,0,0,0,0,0,0,0,37,433,27,7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,11
"43",505,77.8,8.7,5.7,0.62,0,1,0,0,0,0,0,0,0,0,0,0,0,51,399,44,10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12
"44",504,76.3,9.2,4.3,0.05,0,1,0,0,0,0,0,0,0,0,0,0,0,50,417,32,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13
"45",520,76,9.6,2.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51,436,26,4,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14
"46",602,73.6,6.5,3.5,0.01,1,1,0,0,0,0,0,0,0,0,0,0,0,53,501,40,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15
"47",613,74,6.7,3.1,0.15,1,1,0,0,0,0,0,0,0,0,0,0,0,52,527,26,6,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16
"48",574,77.9,9.5,3.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,482,34,8,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,17
